"","Name","Int_Storage_GB","Color","Rating","Num_People_Rated","Price"
"1","Apple iPhone 12",128,"Blue",4.6,13564,59999
"2","Apple iPhone XR",128,"Coral",4.5,7097,42999
"3","Apple iPhone 12",128,"Blue",4.6,13564,59999
"4","Apple iPhone 11",64,"Black",4.6,6207,47900
"5","Apple iPhone 11",64,"White",4.6,62792,47499
"6","Apple iPhone 11",128,"Purple",4.6,62792,49900
"7","Apple iPhone 11",128,"White",4.6,62792,49900
"8","Apple iPhone 11",128,"RED",4.6,62792,49900
"9","Apple iPhone XR",128,"RED",4.5,7097,42999
"10","Apple iPhone 12",128,"Black",4.6,13564,59999
"11","Apple iPhone 11",128,"Black",4.6,62792,49900
"12","Apple iPhone 13",128,"Midnight",4.7,1562,74900
"13","Apple iPhone 12",64,"Black",4.6,13564,54900
"14","Apple iPhone 12",64,"White",4.6,13564,55900
"15","Apple iPhone 12",128,"White",4.6,13564,61900
"16","Apple iPhone 11",64,"Yellow",4.6,62792,47900
"17","Apple iPhone 12",64,"Blue",4.6,13564,54900
"18","Apple iPhone 13",128,"Starlight",4.7,1562,74900
"19","Apple iPhone 11",64,"Green",4.6,62792,47499
"20","Apple iPhone SE",128,"Midnight",3.1,45,46900
"21","Apple iPhone XR",128,"Coral",4.5,7097,42999
"22","Apple iPhone 13",128,"Green",4.7,1562,74900
"23","Apple iPhone SE",128,"Starlight",3.1,45,46900
"24","Apple iPhone SE",64,"Midnight",3.1,45,41900
"25","Apple iPhone 12",256,"Black",4.6,13564,67999
