"","Name","Rating","Times_Rated","Price"
"1","Apple iPhone 12 (128GB) - Blue","4.6 out of 5 stars","13,564","59,999"
"2","Apple iPhone XR (128GB) - Coral","4.5 out of 5 stars","7,097","42,999"
"3","Apple iPhone 12 (128GB) - Blue","4.6 out of 5 stars","13,564","59,999"
"4","Apple iPhone 11 (64GB) - Black","4.6 out of 5 stars","6,207","47,900"
"5","Apple iPhone 11 (64GB) - White","4.6 out of 5 stars","62,792","47,499"
"6","Apple iPhone 11 (128GB) - Purple","4.6 out of 5 stars","62,792","49,900"
"7","Apple iPhone 11 (128GB) - White","4.6 out of 5 stars","62,792","49,900"
"8","Apple iPhone 11 (128GB) - (Product) RED","4.6 out of 5 stars","62,792","49,900"
"9","Apple iPhone XR (128GB) - (Product) RED","4.5 out of 5 stars","7,097","42,999"
"10","Apple iPhone 12 (128GB) - Black","4.6 out of 5 stars","13,564","59,999"
"11","Apple iPhone 11 (128GB) - Black","4.6 out of 5 stars","62,792","49,900"
"12","Apple iPhone 13 (128GB) - Midnight","4.7 out of 5 stars","1,562","74,900"
"13","Apple iPhone 12 (64GB) - Black","4.6 out of 5 stars","13,564","54,900"
"14","Apple iPhone 12 (64GB) - White","4.6 out of 5 stars","13,564","55,900"
"15","Apple iPhone 12 (128GB) - White","4.6 out of 5 stars","13,564","61,900"
"16","Apple iPhone 11 (64GB) - Yellow","4.6 out of 5 stars","62,792","47,900"
"17","Apple iPhone 12 (64GB) - Blue","4.6 out of 5 stars","13,564","54,900"
"18","Apple iPhone 13 (128GB) - Starlight","4.7 out of 5 stars","1,562","74,900"
"19","Apple iPhone 11 (64GB) - Green","4.6 out of 5 stars","62,792","47,499"
"20","Apple iPhone SE (128 GB) - Midnight (3rd Generation)","3.1 out of 5 stars","45","46,900"
"21","Apple iPhone XR (128GB) - Coral","4.5 out of 5 stars","7,097","42,999"
"22","Apple iPhone 13 (128GB) - Green","4.7 out of 5 stars","1,562","74,900"
"23","6G Gold Compatible with iPhone with 8 Mega Pixel Camera (64GB Internal Memory)","1.0 out of 5 stars","1","19,999"
"24","Apple iPhone SE (128 GB) - Starlight (3rd Generation)","3.1 out of 5 stars","45","46,900"
"25","Apple iPhone SE (64 GB) - Midnight (3rd Generation)","3.1 out of 5 stars","45","41,900"
"26","Apple iPhone 12 (256GB) - Black","4.6 out of 5 stars","13,564","67,999"
